context_tolerance_m,buildings,mean_neighbors,median_nearest_neighbor_m,median_source_vertices,median_target_vertices,mean_vertex_reduction
1.0,1203,0.0,34.71374855199677,16.0,8.0,0.43375833231797095
2.0,1714,1.4457409568261377,18.69983752164917,13.0,6.0,0.5372045751899682
3.0,342,3.4327485380116958,15.2125242917535,11.0,4.0,0.560858205304764
