task,model,building_id,source_area,context_tolerance_m,paired_point_rmse_m,hausdorff_distance_m,relative_area_error_pct,source_is_valid,target_is_valid,prediction_is_valid
Fixed 2 m target,Identity baseline,2426,wedding,,0.08873284913294877,0.4719905342238709,0.08894653251907256,True,True,True
Fixed 2 m target,Identity baseline,2427,wedding,,0.3929229621436412,1.2454980001888118,2.5763931542877834,True,True,True
Fixed 2 m target,Identity baseline,2428,wedding,,0.6703971073435067,1.0082919773029597,1.3470936426575664,True,True,True
Fixed 2 m target,Identity baseline,2429,wedding,,0.42547656320163374,1.0750164079614273,1.627221387544543,True,True,True
Fixed 2 m target,Identity baseline,2430,wedding,,1.052370421006817,1.5664522148459332,0.008894747038346001,True,True,True
Fixed 2 m target,Identity baseline,2431,wedding,,1.5839639069420888,1.9161229353535423,1.6591504201288636,True,True,True
Fixed 2 m target,Identity baseline,2432,wedding,,0.29558716639480626,0.5099391858654352,0.2714253581860215,True,True,True
Fixed 2 m target,Identity baseline,2433,wedding,,0.46904296341592916,1.5217700684158288,2.7571077522962875,True,True,True
Fixed 2 m target,Identity baseline,2434,wedding,,0.12813442390181373,0.4025526176460716,0.36756606574046724,True,True,True
Fixed 2 m target,Identity baseline,2435,wedding,,2.0697523518478453,2.395744979287713,6.764302892518748,True,True,True
Fixed 2 m target,Identity baseline,2436,wedding,,5.021617814219906,4.454128444622519,3.354009416203016,True,True,True
Fixed 2 m target,Identity baseline,2437,wedding,,5.132625374233532,2.215819933925645,3.744004437321901,True,True,True
Fixed 2 m target,Identity baseline,2438,wedding,,0.15761127737955025,0.35773956398325224,0.4995712311967133,True,True,True
Fixed 2 m target,Identity baseline,2439,wedding,,1.0567255001409093,1.9333272710609508,5.063145286651281,True,True,True
Fixed 2 m target,Identity baseline,2440,wedding,,1.0104587174732678,1.6060660590670484,1.071977326079343,True,True,True
Fixed 2 m target,Identity baseline,2441,wedding,,2.004831086187982,1.2831698625762542,6.604618325330776,True,True,True
Fixed 2 m target,Identity baseline,2442,wedding,,0.7370507491521716,1.21145981758747,0.5577548865883616,True,True,True
Fixed 2 m target,Identity baseline,2443,wedding,,0.48137283619649596,0.9946176776650678,1.7795050800179002,True,True,True
Fixed 2 m target,Identity baseline,2444,wedding,,1.8092391638618506,2.0000013364478946,1.0826852276963308,True,True,True
Fixed 2 m target,Identity baseline,2445,wedding,,1.3147884147227287,1.929652604281983,2.0209331359387797,True,True,True
Fixed 2 m target,Identity baseline,2446,wedding,,1.2631268913868503,1.292215805022857,1.319837327952744,True,True,True
Fixed 2 m target,Identity baseline,2447,wedding,,1.1797521384223169,1.2135299653350282,0.8022699369476548,True,True,True
Fixed 2 m target,Identity baseline,2448,wedding,,0.838015840972117,1.5000002570450306,2.9481984121605955,True,True,True
Fixed 2 m target,Identity baseline,2449,wedding,,0.0,0.0,0.0,True,True,True
Fixed 2 m target,Identity baseline,2450,wedding,,0.740293594783768,0.8199122049862541,0.509903616465383,True,True,True
Fixed 2 m target,Identity baseline,2451,wedding,,0.4726723556197298,0.5274577951776954,0.02745968483781029,True,True,True
Fixed 2 m target,Identity baseline,2452,wedding,,0.7816795557037406,0.7653151793553922,0.11439153146889323,True,True,True
Fixed 2 m target,Identity baseline,2453,wedding,,0.43487631510613184,0.51537346180849,1.39566938074881,True,True,True
Fixed 2 m target,Identity baseline,2454,wedding,,0.8884293595419107,1.10315161254593,1.112093000201962,True,True,True
Fixed 2 m target,Identity baseline,2455,wedding,,0.32433638154869093,0.5000004265457392,0.014450668107532585,True,True,True
Fixed 2 m target,Identity baseline,2456,wedding,,0.8404884709434887,1.5000001480802894,8.38184311195748,True,True,True
Fixed 2 m target,Identity baseline,2457,wedding,,0.8850220462522376,0.9544799253104448,0.48724234810752054,True,True,True
Fixed 2 m target,Identity baseline,2458,wedding,,0.005524277932743939,0.031234787430725375,0.021378966724999157,True,True,True
Fixed 2 m target,Identity baseline,2459,wedding,,0.836138194303895,0.9852120766004521,2.8924068947577255,True,True,True
Fixed 2 m target,Identity baseline,2460,wedding,,1.0884638373480982,1.6113430816543064,1.491649815602604,True,True,True
