task,model,n_buildings,mean_paired_point_rmse_m,median_paired_point_rmse_m,mean_hausdorff_distance_m,median_hausdorff_distance_m,mean_relative_area_error_pct,median_relative_area_error_pct,valid_prediction_rate_pct
Context-adaptive 1/2/3 m target,Geometry + context CNN,848,0.8931152968115028,0.6577929701406922,1.084217133340982,1.001180402246792,2.8584816548897742,2.1373048545378444,100.0
Context-adaptive 1/2/3 m target,Identity baseline,848,0.8639128853639774,0.6408869710501112,1.0238712081738488,0.9608226102113028,2.1837516497878617,1.3563305588610164,100.0
Fixed 2 m target,Circular 1D-CNN,856,1.1975319270496685,0.7599902005895681,1.2256495410014707,1.1832602915658472,3.279513307377163,2.8018144444220137,100.0
Fixed 2 m target,Identity baseline,856,1.174524010593688,0.7451216235030872,1.1402563302653332,1.1543253095028967,2.370907738552832,1.7507598387731511,100.0
