,count,mean,std,min,25%,50%,75%,max
nearest_neighbor_distance_m,3282.0,26.809002634560237,16.759803967422094,4.49592784645049,17.058920139187787,21.636600507856997,30.228764724089697,270.54367881488236
neighbors_within_25m,3282.0,1.1127361365021329,1.1257816045396392,0.0,0.0,1.0,2.0,7.0
local_building_density_per_km2,3282.0,566.7118607401359,573.3558630541085,0.0,0.0,509.29581789406507,1018.5916357881301,3565.0707252584557
